RKB,centralno,duration (h),distance (km),coordinates_centralno,coordinates_podracno,Населено место
7050107854,Боговиње - ОOУ „Дервиш Цара“ с.Долно Палчиште,0.01555555556,0.731,"41.9695423,20.9372516","41.9760552,20.9389396",с. Калник
7050107854,Боговиње - ОOУ „Дервиш Цара“ с.Долно Палчиште,0.1080555556,2.511,"41.9695423,20.9372516","41.9604911,20.91491",с. Новаке
7050107757,Боговиње - ООУ „Сабедин Бајрами“ с.Камењане,0.01583333333,0.28,"41.933472,20.944984","41.9352716,20.943954",с. Горно Седларце
7050107757,Боговиње - ООУ „Сабедин Бајрами“ с.Камењане,0.06083333333,2.087,"41.933472,20.944984","41.9376501,20.922271",с. Синичане
7060161859,Босилево - ООУ „Борис Трајковски“ с.Моноспитово,0.06222222222,1.84,"41.4190621899295,22.7488049141432","41.4229777,22.7665633",с. Бориево
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.1541666667,6.494,"41.4401045,22.727977","41.4858739,22.7143849",с. Гечерлија
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.09611111111,4.188,"41.4401045,22.727977","41.4716444,22.7278979",с. Петралинци
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.1402777778,5.55,"41.4401045,22.727977","41.4763244,22.6983601",с. Сарај
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.2233333333,10.878,"41.4401045,22.727977","41.4983558,22.7731484",с. Дрвош
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.04277777778,2.041,"41.4401045,22.727977","41.4379323,22.7088351",с. Робово
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.1372222222,6.06,"41.4401045,22.727977","41.4668158,22.7481371",с. Старо Балдовци
7060106688,Босилево - ООУ „Гоце Делчев“ с.Босилево,0.04888888889,1.078,"41.4401045,22.727977","41.4317724,22.7317792",с. Еднокукево
7060106696,Босилево - ООУ „Св.Кирил и Методиј“ с.Иловица,0.2436111111,6.019,"41.4810389,22.7676645","41.4411955,22.7764413",с. Турново
7060106696,Босилево - ООУ „Св.Кирил и Методиј“ с.Иловица,0.3133333333,8.445,"41.4810389,22.7676645","41.4400258,22.7959895",с. Секирник
7060106696,Босилево - ООУ „Св.Кирил и Методиј“ с.Иловица,0.1813888889,4.264,"41.4810389,22.7676645","41.4520199,22.7654805",с. Радово
7070107439,Брвеница - ООУ „7 Марси“ с.Челопек,0.3238888889,14.029,"42.0199495,20.980307","41.9342093,21.0132572",с. Долни Челопек
7070107439,Брвеница - ООУ „7 Марси“ с.Челопек,0.3922222222,17.844,"42.0199495,20.980307","41.9086648,21.0168135",с. Милетино
7070107439,Брвеница - ООУ „7 Марси“ с.Челопек,0.4236111111,19.134,"42.0199495,20.9781183","41.8962157,21.0168564",с. Блаце
7070107382,Брвеница - ООУ „Гоце Делчев“ с.Стенче,0.4211111111,15.273,"41.8761198,21.0022759","41.8451638,21.1056324",с. Гургурница
7070107382,Брвеница - ООУ „Гоце Делчев“ с.Стенче,0.1997222222,8.625,"41.8761198,21.0022759","41.8935642,20.979209",с. Теново
7070107382,Брвеница - ООУ „Гоце Делчев“ с.Стенче,0.2138888889,9.833,"41.8761198,21.0022759","41.9062892,20.9645667",с. Радиовце
7070107382,Брвеница - ООУ „Гоце Делчев“ с.Стенче,0.07694444444,2.982,"41.8761198,21.0022759","41.8619561,20.995062",с. Волковија
7070107471,Брвеница - ООУ „Коста Рацин“ с.Брвеница,0.1463888889,7.245,"41.9679139,20.978643","41.9352716,20.943954",с. Долно Седларце
